,date,value
0,2016-01-01 01:00:00,48.55
1,2016-01-01 02:00:00,40.0
2,2016-01-01 03:00:00,33.1
3,2016-01-01 04:00:00,28.11
4,2016-01-01 05:00:00,27.13
5,2016-01-01 06:00:00,25.91
6,2016-01-01 07:00:00,25.1
7,2016-01-01 08:00:00,19.25
8,2016-01-01 09:00:00,17.73
9,2016-01-01 10:00:00,19.77
10,2016-01-01 11:00:00,23.75
11,2016-01-01 12:00:00,26.03
12,2016-01-01 13:00:00,27.06
13,2016-01-01 14:00:00,26.59
14,2016-01-01 15:00:00,25.0
15,2016-01-01 16:00:00,20.06
16,2016-01-01 17:00:00,19.43
17,2016-01-01 18:00:00,24.57
18,2016-01-01 19:00:00,33.11
19,2016-01-01 20:00:00,35.34
20,2016-01-01 21:00:00,33.07
21,2016-01-01 22:00:00,29.52
22,2016-01-01 23:00:00,30.1
23,2016-01-02 00:00:00,24.57
0,2016-01-02 01:00:00,22.2
1,2016-01-02 02:00:00,16.57
2,2016-01-02 03:00:00,15.35
3,2016-01-02 04:00:00,12.77
4,2016-01-02 05:00:00,11.27
5,2016-01-02 06:00:00,11.91
6,2016-01-02 07:00:00,12.62
7,2016-01-02 08:00:00,14.17
8,2016-01-02 09:00:00,26.77
9,2016-01-02 10:00:00,26.81
10,2016-01-02 11:00:00,35.4
11,2016-01-02 12:00:00,36.1
12,2016-01-02 13:00:00,30.34
13,2016-01-02 14:00:00,31.26
14,2016-01-02 15:00:00,36.2
15,2016-01-02 16:00:00,36.2
16,2016-01-02 17:00:00,36.2
17,2016-01-02 18:00:00,39.99
18,2016-01-02 19:00:00,45.5
19,2016-01-02 20:00:00,55.1
20,2016-01-02 21:00:00,59.0
21,2016-01-02 22:00:00,59.56
22,2016-01-02 23:00:00,51.1
23,2016-01-03 00:00:00,40.66
0,2016-01-03 01:00:00,30.25
1,2016-01-03 02:00:00,20.1
2,2016-01-03 03:00:00,21.1
3,2016-01-03 04:00:00,22.0
4,2016-01-03 05:00:00,22.0
5,2016-01-03 06:00:00,18.2
6,2016-01-03 07:00:00,18.2
7,2016-01-03 08:00:00,21.1
8,2016-01-03 09:00:00,21.1
9,2016-01-03 10:00:00,21.8
10,2016-01-03 11:00:00,21.1
11,2016-01-03 12:00:00,22.11
12,2016-01-03 13:00:00,22.68
13,2016-01-03 14:00:00,22.0
14,2016-01-03 15:00:00,19.89
15,2016-01-03 16:00:00,20.1
