ID;Codigo;Municipio;Provincia;Latitud;Longitud;Altura;Inicio;Fin
1387E;8002;A CORUÑA AEROPUERTO;A CORUÑA;431825N;082219W;98;01-12-1971;02-09-2021
1387;8001;A CORUÑA;A CORUÑA;432157N;082517W;58;01-10-1930;02-09-2021
1393;8006;CABO VILÁN;A CORUÑA;430938N;091239W;50;01-01-1994;02-09-2021
1351;8004;ESTACA DE BARES;A CORUÑA;434710N;074105W;80;01-01-1961;02-09-2021
1400;8040;FISTERRA;A CORUÑA;425529N;091729W;230;01-01-1951;02-09-2021
1437O;8043;MONTE IROITE;A CORUÑA;424314N;085524W;685;01-04-1983;02-10-2017
1473A;8039;PADRÓN;A CORUÑA;424418N;083738W;100;01-01-1994;02-09-2021
1428;8042;SANTIAGO DE COMPOSTELA AEROPUERTO;A CORUÑA;425317N;082438W;370;01-11-1943;02-09-2021
1475X;8041;SANTIAGO DE COMPOSTELA;A CORUÑA;425234N;083321W;240;01-01-1994;02-09-2021
8175;8280;ALBACETE BASE AÉREA;ALBACETE;385715N;015123W;702;01-12-1939;03-09-2021
8178D;8279;ALBACETE;ALBACETE;390020N;015144W;676;01-01-1983;03-09-2021
8177A;8278;CHINCHILLA;ALBACETE;385609N;013936W;880;01-01-2006;03-09-2021
7096B;8355;HELLÍN;ALBACETE;383231N;014211W;646;01-08-1987;03-09-2021
8025;8359;ALICANTE/ALACANT;ALICANTE;382221N;002939W;81;01-09-1938;03-09-2021
8019;8360;ALICANTE-ELCHE AEROPUERTO;ALICANTE;381658N;003415W;43;01-01-1967;03-09-2021
8050X;8370;JÁVEA/ XÀBIA;ALICANTE;384701N;001004E;15;14-03-1997;03-09-2021
7247X;8357;PINOSO ;ALICANTE;382359N;010217W;575;14-01-2004;03-09-2021
6302A;8427;ABLA;ALMERIA;370829N;024647W;869;01-01-2001;03-09-2021
6277B;8486;ADRA;ALMERIA;364450N;030114W;8;19-04-1986;03-09-2021
6381;8490;ALBORÁN;ALMERIA;355618N;030210W;15;02-01-1973;11-06-2016
6325O;8487;ALMERÍA AEROPUERTO;ALMERIA;365047N;022125W;21;01-01-1968;03-09-2021
6297;;ALMERÍA;ALMERIA;364952N;022720W;7;01-01-1934;09-04-1981
6332X;8488;CARBONERAS;ALMERIA;365849N;015413W;16;01-01-2001;27-07-2021
6367B;8428;HUÉRCAL-OVERA;ALMERIA;372326N;015637W;300;07-04-1988;03-09-2021
6293X;8492;ROQUETAS DE MAR;ALMERIA;364113N;024206W;3;19-07-2009;14-06-2021
9091O;8080;FORONDA-TXOKIZA;ARABA/ALAVA;425255N;024406W;513;01-01-1976;03-09-2021
9087;;VITORIA AERÓDROMO;ARABA/ALAVA;425059N;023922W;521;01-03-1943;30-11-1982
9091R;8080;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;425219N;024358W;513;30-09-2011;03-09-2021
1212E;8011;ASTURIAS AEROPUERTO;ASTURIAS;433401N;060239W;127;01-08-1968;02-09-2021
1283U;8010;CABO BUSTO;ASTURIAS;433409N;062812W;60;01-04-1997;02-09-2021
1210X;8012;CABO PEÑAS;ASTURIAS;433921N;055055W;100;01-06-1997;02-09-2021
1331A;8009;CASTROPOL;ASTURIAS;433129N;070153W;40;20-11-2014;02-09-2021
1207U;8014;GIJÓN, CAMPUS;ASTURIAS;433123N;053716W;26;01-01-1979;02-09-2021
1208A;;GIJÓN. LA MERCED;ASTURIAS;433230N;053943W;22;01-10-1938;31-05-1976
1208H;8014;GIJÓN, PUERTO;ASTURIAS;433336N;054203W;5;06-03-2001;02-09-2021
1208;;GIJÓN;ASTURIAS;433220N;053815W;3;01-06-1976;05-03-2001
1183X;8016;LLANES;ASTURIAS;432513N;044453W;10;02-04-1997;02-09-2021
1249I;8015;OVIEDO;ASTURIAS;432112N;055227W;336;20-11-1972;02-09-2021
1249X;8015;OVIEDO;ASTURIAS;432112N;055227W;336;01-03-2012;02-09-2021
1542;8052;PUERTO DE LEITARIEGOS;ASTURIAS;425939N;062451W;1530;01-03-1997;02-09-2021
1221D;8031;PAJARES-VALGRANDE;ASTURIAS;425843N;054635W;1480;01-03-1997;02-09-2021
2444C;;ÁVILA, AYUNTAMIENTO;AVILA;403924N;044201W;1143;01-01-1953;14-03-1982
2444;8210;ÁVILA;AVILA;403933N;044048W;1130;01-01-1983;02-09-2021
2811A;8206;NAVARREDONDA DE GREDOS;AVILA;402102N;050835W;1525;01-06-2003;03-03-2020
3391;8208;SOTILLO DE LA ADRADA;AVILA;401719N;043527W;630;01-03-1954;03-09-2021
4452;8330;BADAJOZ AEROPUERTO;BADAJOZ;385300N;064850W;185;01-01-1955;03-09-2021
4358X;8333;DON BENITO;BADAJOZ;385720N;055250W;273;01-03-1989;03-09-2021
4244X;8264;HERRERA DEL DUQUE;BADAJOZ;391010N;050344W;447;24-01-2001;03-09-2021
