;color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;movie_twitter_likes
0;Color;Martin Scorsese;240;$116,866,727.00;Biography|Comedy|Crime|Drama;the wolf of wall street;2013;English;USA;USD 100,000,000.00;8.2;Leonardo DiCaprio,Matthew McConaughey,Jon Favreau;138000;1000
1;Color;Shane Black;195;$408,992,272.00;Action|Adventure|Sci-Fi;iron man 3;2013;English;USA;USD 200,000,000.00;7.2;Robert Downey Jr.,Jon Favreau,Don Cheadle;95000;1000
2;color ;Quentin Tarantino;187;$54,116,191.00;Crime|Drama|Mystery|Thriller|Western;the hateful eight;2015;English;USA;USD 44,000,000.00;7.9;Craig Stark,Jennifer Jason Leigh,Zoë Bell;114000;1000
3;Color;Kenneth Lonergan;186;$46,495.00;Drama;margaret;2011;English;usa;USD 14,000,000.00;6.5;Matt Damon,Kieran Culkin,John Gallagher Jr.;0;1000
4;Color;Peter Jackson;186;$258,355,354.00;Adventure|Fantasy;the hobbit: the desolation of smaug;2013;English;USA;USD 225,000,000.00;7.9;Aidan Turner,Adam Brown,James Nesbitt;83000;1000
5;;;183;$330,249,062.00;Action|Adventure|Sci-Fi;batman v superman: dawn of justice;202;English;USA;USD 250,000,000.00;6.9;Henry Cavill,Lauren Cohan,Alan D. Purwin;197000;1000
6;Color;Peter Jackson;-50;$303,001,229.00;Adventure|Fantasy;the hobbit: an unexpected journey;2012;English;USA;USD 180,000,000.00;7.9;Aidan Turner,Adam Brown,James Nesbitt;166000;1000
7;Color;Edward Hall;180;$nan;Drama|Romance;restless;2012;English;UK;USD nan;7.2;Rufus Sewell,Hayley Atwell,Charlotte Rampling;434;1000
8;Color;Joss Whedon;173;$623,279,547.00;Action|Adventure|Sci-Fi;the avengers;2012;English;USA;USD 220,000,000.00;8.1;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;123000;1000
9;Color;Joss Whedon;173;$623,279,547.00;Action|Adventure|Sci-Fi;the avengers;2012;English;USA;USD 220,000,000.00;8.1;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;123000;1000
10;;Tom Tykwer;172;$27,098,580.00;Drama|Sci-Fi;cloud atlas;2012;English;Germany;USD 102,000,000.00;-7.5;Tom Hanks,Jim Sturgess,Jim Broadbent;124000;1000
11;Color;Null;158;$102,515,793.00;Crime|Drama|Mystery|Thriller;the girl with the dragon tattoo;2011;English;USA;USD 90,000,000.00;7.8;Robin Wright,Goran Visnjic,Joely Richardson;54000;1000
12;Color;Christopher Spencer;170;$59,696,176.00;;son of god;2014;English;USA;USD 22,000,000.00;5.6;Roma Downey,Amber Rose Revah,Darwin Shaw;15000;1000
13;Color;Christopher Nolan;169;$187,991,439.00;Adventure|Drama|Sci-Fi;interstellar;2014;English;USA;USD 165,000,000.00;8.6;Matthew McConaughey,Anne Hathaway,Mackenzie Foy;349000;1000
14;Color;F. Gary Gray;167;$100,000,000,000,000.00;Biography|Crime|Drama|History|Music;straight outta compton;2015;English;USA;USD 28,000,000.00;7.9;Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor;76000;1000
15;;Richard Linklater;165;$25,359,200.00;Drama;boyhood;2014;English;USA;USD 4,000,000.00;8.0;Ellar Coltrane,Lorelei Linklater,Libby Villari;92000;1000
16;Color;Quentin Tarantino;580;$162,804,648.00;Drama|Western;django unchained;2012;English;USA;USD 100,000,000.00;8.5;Leonardo DiCaprio,Christoph Waltz,Ato Essandoh;199000;1000
17;Color;Michael Bay;165;$245,428,137.00;Action|Adventure|Sci-Fi;transformers: age of extinction;2014;English;USA;USD 210,000,000.00;5.7;Bingbing Li,Sophia Myles,Kelsey Grammer;56000;1000
18;;Christopher Nolan;164;$448,130,642.00;Action|Thriller;the dark knight rises;2012;English;USA;USD 250,000,000.00;8.5;Tom Hardy,Christian Bale,Joseph Gordon-Levitt;164000;1000
19;Color;Peter Jackson;164;$255,108,370.00;Adventure|Fantasy;the hobbit: the battle of the five armies;2014;English;New Zealand;USD 250,000,000.00;7.5;Aidan Turner,Adam Brown,James Nesbitt;65000;1000
20;Color;Tom Hooper;158;$148,775,460.00;Drama|Musical|Romance;les misérables;-1000;English;USA;USD 61,000,000.00;7.6;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000;1000
21;Color;Tom Hooper;158;$148,775,460.00;Drama|Musical|Romance;les misérables;2012;English;USA;USD 61,000,000.00;7.6;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000;1000
22;Color;Kathryn Bigelow;157;$95,720,716.00;Drama|History|Thriller;zero dark thirty;2012;English;USA;USD 40,000,000.00;7.4;Jennifer Ehle,Harold Perrineau,Parker Sawyers;39000;1000
23;Color;Ridley Scott;156;$105,219,735.00;Action|Adventure|Drama|History;robin hood;2010;English;USA;USD 200,000,000.00;6.7;Mark Addy,William Hurt,Scott Grimes;17000;1000
