Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2018_31-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,13/01/2018,14/01/2018,15/01/2018,16/01/2018,17/01/2018,18/01/2018,19/01/2018,20/01/2018,21/01/2018,22/01/2018,23/01/2018,24/01/2018,25/01/2018,26/01/2018,27/01/2018,28/01/2018,29/01/2018,30/01/2018,31/01/2018,01/02/2018,02/02/2018,03/02/2018,04/02/2018,05/02/2018,06/02/2018,07/02/2018,08/02/2018,09/02/2018,10/02/2018,11/02/2018,12/02/2018,13/02/2018,14/02/2018,15/02/2018,16/02/2018,17/02/2018,18/02/2018,19/02/2018,20/02/2018,21/02/2018,22/02/2018,23/02/2018,24/02/2018,25/02/2018,26/02/2018,27/02/2018,28/02/2018,01/03/2018,02/03/2018,03/03/2018,04/03/2018,05/03/2018,06/03/2018,07/03/2018,08/03/2018,09/03/2018,10/03/2018,11/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018,17/03/2018,18/03/2018,19/03/2018,20/03/2018,21/03/2018,22/03/2018,23/03/2018,24/03/2018,25/03/2018,26/03/2018,27/03/2018,28/03/2018,29/03/2018,30/03/2018,31/03/2018,01/04/2018,02/04/2018,03/04/2018,04/04/2018,05/04/2018,06/04/2018,07/04/2018,08/04/2018,09/04/2018,10/04/2018,11/04/2018,12/04/2018,13/04/2018,14/04/2018,15/04/2018,16/04/2018,17/04/2018,18/04/2018,19/04/2018,20/04/2018,21/04/2018,22/04/2018,23/04/2018,24/04/2018,25/04/2018,26/04/2018,27/04/2018,28/04/2018,29/04/2018,30/04/2018,01/05/2018,02/05/2018,03/05/2018,04/05/2018,05/05/2018,06/05/2018,07/05/2018,08/05/2018,09/05/2018,10/05/2018,11/05/2018,12/05/2018,13/05/2018,14/05/2018,15/05/2018,16/05/2018,17/05/2018,18/05/2018,19/05/2018,20/05/2018,21/05/2018,22/05/2018,23/05/2018,24/05/2018,25/05/2018,26/05/2018,27/05/2018,28/05/2018,29/05/2018,30/05/2018,31/05/2018,01/06/2018,02/06/2018,03/06/2018,04/06/2018,05/06/2018,06/06/2018,07/06/2018,08/06/2018,09/06/2018,10/06/2018,11/06/2018,12/06/2018,13/06/2018,14/06/2018,15/06/2018,16/06/2018,17/06/2018,18/06/2018,19/06/2018,20/06/2018,21/06/2018,22/06/2018,23/06/2018,24/06/2018,25/06/2018,26/06/2018,27/06/2018,28/06/2018,29/06/2018,30/06/2018,01/07/2018,02/07/2018,03/07/2018,04/07/2018,05/07/2018,06/07/2018,07/07/2018,08/07/2018,09/07/2018,10/07/2018,11/07/2018,12/07/2018,13/07/2018,14/07/2018,15/07/2018,16/07/2018,17/07/2018,18/07/2018,19/07/2018,20/07/2018,21/07/2018,22/07/2018,23/07/2018,24/07/2018,25/07/2018,26/07/2018,27/07/2018,28/07/2018,29/07/2018,30/07/2018,31/07/2018,01/08/2018,02/08/2018,03/08/2018,04/08/2018,05/08/2018,06/08/2018,07/08/2018,08/08/2018,09/08/2018,10/08/2018,11/08/2018,12/08/2018,13/08/2018,14/08/2018,15/08/2018,16/08/2018,17/08/2018,18/08/2018,19/08/2018,20/08/2018,21/08/2018,22/08/2018,23/08/2018,24/08/2018,25/08/2018,26/08/2018,27/08/2018,28/08/2018,29/08/2018,30/08/2018,31/08/2018,01/09/2018,02/09/2018,03/09/2018,04/09/2018,05/09/2018,06/09/2018,07/09/2018,08/09/2018,09/09/2018,10/09/2018,11/09/2018,12/09/2018,13/09/2018,14/09/2018,15/09/2018,16/09/2018,17/09/2018,18/09/2018,19/09/2018,20/09/2018,21/09/2018,22/09/2018,23/09/2018,24/09/2018,25/09/2018,26/09/2018,27/09/2018,28/09/2018,29/09/2018,30/09/2018,01/10/2018,02/10/2018,03/10/2018,04/10/2018,05/10/2018,06/10/2018,07/10/2018,08/10/2018,09/10/2018,10/10/2018,11/10/2018,12/10/2018,13/10/2018,14/10/2018,15/10/2018,16/10/2018,17/10/2018,18/10/2018,19/10/2018,20/10/2018,21/10/2018,22/10/2018,23/10/2018,24/10/2018,25/10/2018,26/10/2018,27/10/2018,28/10/2018,29/10/2018,30/10/2018,31/10/2018,01/11/2018,02/11/2018,03/11/2018,04/11/2018,05/11/2018,06/11/2018,07/11/2018,08/11/2018,09/11/2018,10/11/2018,11/11/2018,12/11/2018,13/11/2018,14/11/2018,15/11/2018,16/11/2018,17/11/2018,18/11/2018,19/11/2018,20/11/2018,21/11/2018,22/11/2018,23/11/2018,24/11/2018,25/11/2018,26/11/2018,27/11/2018,28/11/2018,29/11/2018,30/11/2018,01/12/2018,02/12/2018,03/12/2018,04/12/2018,05/12/2018,06/12/2018,07/12/2018,08/12/2018,09/12/2018,10/12/2018,11/12/2018,12/12/2018,13/12/2018,14/12/2018,15/12/2018,16/12/2018,17/12/2018,18/12/2018,19/12/2018,20/12/2018,21/12/2018,22/12/2018,23/12/2018,24/12/2018,25/12/2018,26/12/2018,27/12/2018,28/12/2018,29/12/2018,30/12/2018,31/12/2018
Renovable,"50,4","51,7","49,8","52,5",47,39,"34,8","20,8","33,2","41,7","44,8","32,3","28,8","27,9","30,6","42,6","36,8","26,7","29,7","44,9","46,5","36,7","26,1","28,4","32,7","48,5",45,"42,9","28,7","25,3","24,5","35,6",43,"43,9","32,9","33,4","37,1","36,2","30,2",30,"40,4","44,2","35,8","41,4","47,2","35,5",25,"38,7","40,2",36,48,49,"43,1",32,"25,7","29,1","36,5","35,2","40,8",49,"48,6","54,9","50,6",49,"51,3","43,3",47,"53,3","59,7",65,"59,7","49,3","57,2","58,3","53,1","53,5","53,8","57,8","60,9","59,1",53,57,"62,9","53,4","53,7","54,6","53,5","53,7",60,"59,1","50,3","54,3","56,8","58,3","48,8","53,9","48,3",51,"49,5","53,6","59,1","49,2","40,4","45,3",51,52,"44,9","49,1",54,"55,6","51,2",48,"45,2","47,7","49,2",49,"49,3","49,2","53,2","47,3","45,7","51,6",57,"57,9","50,5","44,1","39,4","42,8","44,9","47,3","41,9","53,9","52,9","47,7","49,1","49,5","46,6","42,9","41,1","35,1","31,9","31,1","31,2","34,1","35,2","31,3",32,"34,4","31,1","31,2","32,5","34,3","35,6",40,"39,4","35,1","32,9","33,5","33,1","38,8","38,2",40,"49,4",52,48,"46,9","47,4","50,8","52,6",50,"42,9","43,7","46,2","44,3","38,3","36,2","33,7","33,7","33,1","35,8","37,4","36,1",35,"35,6","39,2","39,4","36,5","36,8","37,4","38,2","37,3","38,7","33,1","36,1","32,5","34,7","41,2","36,2","38,5","36,3","39,3","35,9","35,8","34,3","31,6","32,5","30,4","33,6","37,3","39,5","32,1","28,3","33,6","30,3","28,6","31,9","31,1","26,1","29,3","30,7","35,5","31,9","31,9",33,"28,5","38,3","35,5","30,7","40,6","44,3","41,8","39,2","30,1","24,5","26,9","32,9","34,4","28,9","27,6","32,7","27,9","30,4",33,"35,1","31,3","30,6","29,3","25,9","29,4",30,"26,7","22,2",28,"31,2","26,6","27,7","26,4","24,5","23,5","26,7","20,9","22,8","25,7",27,24,"27,7","40,7","37,2","35,2","28,5","26,2","28,9","27,8","42,1","40,1","32,8","22,5","25,8","33,9","41,2","26,8","22,9","26,9","33,3","34,5","36,7","41,1","30,6","18,3","19,6","29,3","35,6","38,3","28,8","37,3","33,1","27,1","21,1","19,8","41,2","43,1","45,6","34,1","25,8","30,5","33,3","25,1",30,"36,7","43,7","36,7","32,4","47,2","54,9","44,2","25,3","24,1","29,2","25,8","26,8","31,4","38,7","23,3","29,9","32,3","29,9",31,"36,2","40,4","44,8","35,1","32,7","31,2","35,1","42,1","45,4","34,9","26,2","31,1","34,6","38,7","37,2",37,"28,3","25,1","31,7","46,6","43,6","46,4",50,"35,1","40,3","41,1","35,7","41,6","34,6","28,8","26,7","26,2",26,"23,8","30,3","43,7","38,7","32,3"
No renovable,"49,6","48,3","50,2","47,5",53,61,"65,2","79,2","66,8","58,3","55,2","67,7","71,2","72,1","69,4","57,4","63,2","73,3","70,3","55,1","53,5","63,3","73,9","71,6","67,3","51,5",55,"57,1","71,3","74,7","75,5","64,4",57,"56,1","67,1","66,6","62,9","63,8","69,8",70,"59,6","55,8","64,2","58,6","52,8","64,5",75,"61,3","59,8",64,52,51,"56,9",68,"74,3","70,9","63,5","64,8","59,2",51,"51,4","45,1","49,4",51,"48,7","56,7",53,"46,7","40,3",35,"40,3","50,7","42,8","41,7","46,9","46,5","46,2","42,2","39,1","40,9",47,43,"37,1","46,6","46,3","45,4","46,5","46,3",40,"40,9","49,7","45,7","43,2","41,7","51,2","46,1","51,7",49,"50,5","46,4","40,9","50,8","59,6","54,7",49,48,"55,1","50,9",46,"44,4","48,8",52,"54,8","52,3","50,8",51,"50,7","50,8","46,8","52,7","54,3","48,4",43,"42,1","49,5","55,9","60,6","57,2","55,1","52,7","58,1","46,1","47,1","52,3","50,9","50,5","53,4","57,1","58,9","64,9","68,1","68,9","68,8","65,9","64,8","68,7",68,"65,6","68,9","68,8","67,5","65,7","64,4",60,"60,6","64,9","67,1","66,5","66,9","61,2","61,8",60,"50,6",48,52,"53,1","52,6","49,2","47,4",50,"57,1","56,3","53,8","55,7","61,7","63,8","66,3","66,3","66,9","64,2","62,6","63,9",65,"64,4","60,8","60,6","63,5","63,2","62,6","61,8","62,7","61,3","66,9","63,9","67,5","65,3","58,8","63,8","61,5","63,7","60,7","64,1","64,2","65,7","68,4","67,5","69,6","66,4","62,7","60,5","67,9","71,7","66,4","69,7","71,4","68,1","68,9","73,9","70,7","69,3","64,5","68,1","68,1",67,"71,5","61,7","64,5","69,3","59,4","55,7","58,2","60,8","69,9","75,5","73,1","67,1","65,6","71,1","72,4","67,3","72,1","69,6",67,"64,9","68,7","69,4","70,7","74,1","70,6",70,"73,3","77,8",72,"68,8","73,4","72,3","73,6","75,5","76,5","73,3","79,1","77,2","74,3",73,76,"72,3","59,3","62,8","64,8","71,5","73,8","71,1","72,2","57,9","59,9","67,2","77,5","74,2","66,1","58,8","73,2","77,1","73,1","66,7","65,5","63,3","58,9","69,4","81,7","80,4","70,7","64,4","61,7","71,2","62,7","66,9","72,9","78,9","80,2","58,8","56,9","54,4","65,9","74,2","69,5","66,7","74,9",70,"63,3","56,3","63,3","67,6","52,8","45,1","55,8","74,7","75,9","70,8","74,2","73,2","68,6","61,3","76,7","70,1","67,7","70,1",69,"63,8","59,6","55,2","64,9","67,3","68,8","64,9","57,9","54,6","65,1","73,8","68,9","65,4","61,3","62,8",63,"71,7","74,9","68,3","53,4","56,4","53,6",50,"64,9","59,7","58,9","64,3","58,4","65,4","71,2","73,3","73,8",74,"76,2","69,7","56,3","61,3","67,7"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2018 - 31/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,13/09/2021 - 23:25:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
